Row Labels,RUTA 101,RUTA RUTA 10202,RUTA RUTA 10303,RUTA RUTA 10404,RUTA RUTA 10505,RUTA RUTA 10606,RUTA RUTA 10707,RUTA RUTA 10808,RUTA RUTA RUTA 1090909,RUTA RUTA 110RUTA 1100,RUTA RUTA 111RUTA 111RUTA 111,RUTA RUTA 112RUTA 1122,RUTA RUTA 113RUTA 1133,RUTA RUTA 114RUTA 1144,RUTA RUTA 115RUTA 1155,RUTA RUTA 116RUTA 1166,RUTA RUTA 117RUTA 1177,RUTA RUTA 118RUTA 1188,RUTA RUTA 119RUTA 1199,RUTA RUTA 12020,RUTA RUTA 12323,RUTA RUTA 12525,RUTA RUTA 13333,RUTA RUTA 15454,RUTA RUTA 15858,RUTA RUTA 15959,RUTA RUTA 16464,RUTA RUTA 16565,RUTA RUTA 16767,RUTA RUTA 16868,RUTA RUTA 17070,RUTA RUTA 17272,RUTA RUTA 17575,RUTA RUTA 19595,RUTA 2RUTA 2100,RUTA 26RUTA 261-MR4-MR4,RUTA 262,RUTA 266,RUTA 6,RUTA LOS VANEGAS
ENTRADA HOSPITAL LENIN FONSECA,RUTA 101,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
ENTRADA LENIN FONSECA,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTRADA REFINERIA ESSO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
ESTACION CINCO DE POLICIA,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
ESTACION III POLICIA,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
ESTACION POLICIA AJAX DELGADO,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTACION POLICIA AJAX DELGADO C. NORTE,,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,,,,,,,,,,,
ESTACION V LA POLICIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
ESTADIO NACIONAL,RUTA 101,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADIO NACIONAL BEIS BALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 167,,,RUTA 172,RUTA 175,RUTA 195,,,,,,
ESTADIO NACIONAL DE BEIS BALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
ESTATUA MONS. LEZCANO,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 175,,,,,,,
ESTATUA MONTOYA,,RUTA 102,,,,,RUTA 107,,,,,,RUTA 113,,,,,,,,,,,,,,,,,,,RUTA 172,,,,,,,,
FARMACIA BORGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
FARMACIA KAREN LAS PALMAS,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
FARMACIA SAN BENITO CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,RUTA 210,,,,,
FARMACIA VILLA FLOR SUR,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERRETERIA JENNY,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
FERRETERIA TOBIE,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
GANCHO CAMINO,RUTA 101,,,,,,,,,,,,,,,RUTA 116,,,,,,,,RUTA 154,,,,RUTA 165,,RUTA 168,,RUTA 172,,,,RUTA 261-MR4,,,,
